"product_id","category_id"
"22","8"
"22","5"
"22","4"
"23","8"
"23","5"
"23","4"
"24","4"
"25","8"
"25","3"
"25","2"
"25","1"
"26","4"
"26","2"
"27","9"
"28","4"
"29","11"
"29","9"
"30","9"
"31","8"
"31","5"
"31","1"
"32","4"
"33","8"
"33","5"
"33","1"
"34","14"
"34","10"
"35","11"
"35","9"
"36","11"
"36","9"
"36","5"
"37","1"
"38","8"
"38","2"
"39","11"
"39","9"
"34","3"
"40","11"
"40","9"
"41","11"
"41","9"
"42","11"
"42","9"
"43","11"
"43","9"
"43","8"
"44","11"
"44","9"
"44","8"
"45","5"
"46","11"
"46","9"
"47","11"
"47","9"
"48","5"
"48","1"
"51","10"
"49","14"
"49","10"
"49","3"
"50","14"
"52","9"
"52","8"
"52","5"
"53","9"
"53","8"
"53","1"
"54","5"
"54","1"
"55","14"
"56","13"
"57","11"
"57","9"
"58","11"
"58","9"
"58","8"
"59","11"
"59","9"
"60","1"
"61","8"
"61","1"
"62","8"
"62","5"
"62","1"
"63","7"
"63","1"
"64","3"
"64","2"
"65","8"
"65","3"
"66","3"
"66","2"
"67","8"
"67","3"
"68","5"
"68","1"
"69","5"
"69","1"
"70","5"
"70","1"
"71","11"
"71","9"
"72","2"
"73","7"
"73","1"
"74","11"
"74","9"
"75","12"
"76","11"
"76","9"
"77","5"
"78","5"
"78","3"
"79","5"
"79","3"
"80","5"
"81","5"
"82","7"
"82","1"
"83","11"
"83","9"
"83","8"
"84","15"
"85","15"
"86","15"
"87","11"
"87","9"
"87","8"
"88","11"
"88","9"
"88","8"
"89","10"
"89","8"
"90","10"
"91","11"
"91","9"
"92","10"
"93","8"
"93","3"
"93","2"
"94","8"
"94","3"
"95","8"
"95","3"
"96","11"
"96","9"
"97","7"
"97","1"
"98","8"
"98","3"
"99","8"
"99","3"
"100","11"
"100","9"
"100","8"
"101","8"
"101","3"
"102","8"
"102","3"
"103","8"
"103","3"
"104","8"
"104","3"
"105","1"
"106","1"
"107","1"
"108","9"
"108","1"
"109","11"
"109","9"
"109","1"
"110","1"
"111","11"
"111","9"
"111","8"
"112","9"
"112","8"
"113","11"
"113","9"
"114","9"
"115","11"
"115","9"
"116","1"
"119","14"
"118","10"
"117","8"
"117","3"
"117","2"
"120","18"
"121","5"
"122","8"
"122","1"
"123","18"
"124","10"
"125","14"
"125","10"
"125","6"
"126","7"
"126","1"
"127","10"
"128","7"
"128","1"
"129","14"
"130","10"
"131","13"
"132","5"
"133","5"
"134","18"
"135","8"
"136","18"
"137","18"
"138","17"
"139","5"
"139","1"
"140","11"
"140","9"
"141","11"
"141","9"
"142","11"
"142","9"
"143","7"
"143","1"
"144","6"
"144","3"
"145","9"
"146","10"
"147","13"
"148","9"
"148","8"
"149","14"
"150","5"
"151","8"
"152","9"
"152","8"
"152","5"
"153","9"
"153","8"
"153","5"
"154","9"
"154","8"
"154","5"
"154","3"
"155","5"
"155","1"
"156","13"
"157","10"
"158","14"
"159","11"
"159","9"
"160","7"
"160","1"
"161","11"
"161","9"
"162","11"
"162","9"
"163","3"
"163","2"
"163","17"
"164","14"
"165","3"
"165","2"
"165","1"
"166","3"
"166","2"
"167","8"
"167","3"
"168","8"
"168","3"
"169","13"
"169","11"
"169","8"
"170","5"
"171","7"
"171","1"
"172","5"
"173","7"
"174","8"
"174","5"
"175","9"
"176","5"
"177","5"
"178","11"
"178","9"
"179","10"
"180","5"
"181","17"
"182","17"
"183","8"
"183","5"
"183","3"
"183","18"
"184","6"
"184","5"
"185","5"
"186","5"
"186","1"
"187","11"
"187","9"
"188","11"
"188","9"
"189","3"
"190","1"
"191","11"
"191","9"
"191","8"
"192","9"
"192","8"
"193","8"
"193","5"
"194","3"
"195","14"
"196","5"
"196","1"
"197","14"
"198","14"
"199","8"
"200","8"
"201","8"
"202","14"
"203","17"
"204","1"
"205","9"
"206","9"
"207","11"
"207","9"
"210","2"
"209","2"
"208","1"
"259","9"
"295","1"
"215","1"
"234","5"
"234","4"
"235","4"
"235","6"
"236","2"
"236","1"
"237","6"
"237","8"
"238","1"
"238","3"
"238","5"
"239","4"
"239","6"
"287","2"
"240","6"
"242","5"
"243","6"
"252","8"
"214","6"
"255","8"
"256","6"
"260","1"
"261","2"
"269","9"
"263","5"
"264","8"
"265","1"
"266","8"
"267","9"
"268","2"
"269","6"
"270","1"
"271","4"
"272","3"
"273","1"
"274","1"
"275","5"
"276","3"
"277","2"
"278","1"
"280","5"
"281","1"
"288","1"
"289","1"
"302","1"
"304","5"
"214","4"
"214","1"
"307","1"
"307","8"
"308","8"
"309","8"
"310","6"
"311","5"
"312","6"
"313","8"
"314","8"
"315","8"
"340","12"
"334","9"
"334","6"
"334","3"
"340","11"
"340","9"
"339","15"
"339","14"
"342","9"
"343","6"
"343","9"
"347","10"
"346","9"
"345","9"
"345","8"
"345","7"
"347","11"
"347","12"
"348","7"
"348","8"
"348","9"
"348","10"
"348","11"
"348","12"
"348","14"
"348","17"
"350","10"
"350","11"
"350","12"
"351","7"
"351","8"
"351","9"
"352","8"
"352","9"
"352","11"
"352","12"
"353","5"
"353","6"
"353","8"
"353","9"
"354","5"
"354","8"
"355","9"
"355","12"
"356","1"
"356","5"
"356","7"
"357","5"
"357","6"
"357","8"
"358","3"
"358","4"
"358","6"
"358","8"
"361","6"
"359","5"
"359","7"
"359","9"
"359","10"
"359","11"
"359","12"
"359","13"
"359","14"
"359","15"
"359","16"
"359","17"
"359","18"
"362","3"
"363","1"
"363","4"
"364","5"
"364","6"
"365","3"
"366","5"
"366","7"
"366","8"
"367","1"
"367","3"
"367","5"
"368","5"
"369","6"
"369","8"
"369","10"
"370","1"
"370","4"
"371","2"
"371","4"
"371","6"
"372","3"
"372","8"
"373","8"
"373","10"
"374","2"
"374","4"
"375","6"
"375","8"
"376","1"
"376","4"
"377","1"
"377","5"
"378","1"
"378","4"
"383","1"
"383","2"
"383","3"
"382","1"
"382","2"
"382","3"
"391","6"
"391","5"
"392","1"
"392","3"
"393","2"
"393","3"
"393","14"
"394","1"
"394","2"
"394","9"
"395","5"
"395","7"
"395","9"
"396","2"
"397","1"
"397","5"
"397","9"
"211","1"
"212","2"
"213","1"
"213","4"
"213","6"
"215","3"
"216","1"
"216","4"
"218","5"
"218","7"
"219","1"
"219","3"
"220","1"
"221","1"
"222","1"
"222","2"
"223","2"
"224","2"
"225","1"
"225","2"
"225","3"
"227","1"
"226","15"
"226","14"
"226","13"
"226","11"
"226","10"
"226","9"
"226","8"
"226","7"
"226","6"
"226","5"
"226","4"
"226","3"
"226","2"
"226","1"
"226","12"
"226","17"
"226","18"
"228","1"
"229","1"
"230","18"
"236","3"
"256","9"
"257","4"
"257","9"
"257","11"
"258","1"
"258","4"
"258","7"
"258","9"
"260","2"
"260","3"
"260","5"
"261","5"
"282","2"
"281","9"
"281","5"
"263","2"
"265","2"
"265","3"
"266","5"
"267","6"
"269","5"
"270","2"
"270","3"
"272","2"
"272","1"
"273","2"
"273","3"
"274","2"
"274","8"
"274","9"
"274","11"
"274","12"
"274","18"
"262","2"
"262","1"
"275","2"
"276","2"
"276","1"
"279","5"
"282","1"
"284","6"
"284","5"
"284","4"
"284","3"
"284","2"
"284","1"
"285","1"
"285","5"
"267","5"
"286","9"
"287","1"
"288","2"
"289","2"
"289","4"
"290","1"
"290","3"
"290","4"
"290","6"
"291","1"
"291","3"
"291","5"
"294","1"
"294","18"
"292","1"
"293","1"
"293","12"
"293","18"
"294","6"
"295","12"
"296","1"
"296","18"
"297","2"
"297","5"
"269","4"
"298","1"
"298","3"
"298","5"
"298","8"
"299","3"
"299","2"
"299","1"
"300","8"
"300","3"
"301","6"
"301","4"
"302","17"
"303","1"
"303","17"
"304","17"
"305","1"
"305","2"
"306","1"
"306","9"
